HealthCareFacility,Photos,Latitude,Longitude,MedicalSubdivision,RAPID_CHVA_Vulnerability,RAPID_CHVA_Vulnerability_Numeric,AdaptiveCapacity,DistanceFromShoreline (in meters),SeaLevelRise,CoastalErosion,AirPollution,Flooding,Cyclones,Drought,High Rainfall,Low Rainfall,Landslide,ChangingEcosystem,LackOfArableLand,HighTemperature,WaterShortage,SeawaterIntrusion,StructuralSafety,ConditionOfBuilding,StructuralResilience,Non-structuralSafety,WindowsAndShutters,Roofing,InternalWallsAndPartitions,EvacuationRoutes,Security,InfastructuralRiskFactorsPreventingAccess,WaterSupply,EnergySupply,ExposureToHeat,WasteManagement,MosquitosAndRodents,AdditionalRiskFactors,Country
Labasa HC,,-16.43,179.38,Macuata,Medium to High Vulnerability,2.00,AC3,N/A,No,No,No,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,No,Yes,Average,Average,Average,Average,Average,Average,Average,Average,Average,"Transportation from the bus stand is an issue, esp. for mothers who have undergone surgery, water issues, washroom sharing with visitors/patients/staff",WAF supply,"EEL main only, no backup power source","Outdoor activities, lack of shade","Working fine, clinic waste to the hospital",Present,"0-5 default of vaccination and clinics,  Nutrition- under Nutrition referred to social welfare, Primary school level- defaulters and also anti- vaxxers believers, Teenage pregnancy- the cases went up, Substance abuse went up, School dropouts high, Majority are farmers, private workers",Fiji
Wainikoro HC,,-16.30,179.56,Macuata,Medium to High Vulnerability,2.00,AC3,N/A,No,No,No,Yes,Yes,No,Yes,Yes,No,Yes,No,Yes,No,No,Average,Average,Average,Average,Average,Average,Average,Average,Average,"Flooding during flooding...accessbility will be affected, all affected due to flooding on both ends of the road...patients are stuck as well in the HCF during, only during flooding, if water dams block","WAF + water tank, brown water tank from water catchment","EEL main only, still waiting on backup","Outdoor activities, lack of shade, lack of indoor cooling facility","Need improvements, clinical waste to Labasa Hospital and other general waste are burnt on site",High,"Malnutrition .... improvement to diet to kids and children, DV - assault, TEENAGE pregnancies...15years the youngest, Farming communities - sugarcane farms and yaqona and also rice and dalo, There are dropouts in the villages, Have people living with disabilities and registered yes",Fiji
Vunivutu NS,,-16.30,179.51,Macuata,Medium to High Vulnerability,2.00,AC3,N/A,No,No,No,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,No,High,Average,Average,Average,Average,Average,Average,Low,Average,"Lack of proper roads, dusty roads, distance of HCF"" 70% are affected",WAF supply,"EFL main only, no backup power, sunking solar for lights only.","Outdoor activities, lack of shade, lack of indoor cooling facility","Need improvement, general waste burnt onsite, sharps and needles to Labasa Hospital, respiratory illness including allergens, injuries, all those that access the facility",Present,"None as related by the nurse, Farming and fishing communities -- 70% above, Yes, people living with disability are registered under the Facility, Lack of safe water, Dusty road, More than 60% live beside the river",Fiji
Visoqo NS,,-16.22,179.66,Macuata,Medium to High Vulnerability,2.00,AC3,N/A,No,No,No,No,No,Yes,No,No,No,No,No,Yes,Yes,No,High,Average,Average,Average,Average,Average,Average,Average,Average,"By boat or bus, or they walk via improper roads, Accessibility to NS is very costly and far,Lack of proper roads, Dusty road, Above 70%","Water tank + JICA's provided filtered water systems for NS, 1 boarding school and 1 village",Solar energy,"Outdoor activities, lack of shade, lack of indoor cooling facility","General waste burnt onsite, sharps and needles to Labasa Hospital, respiratory illness including allergens, injuries, all those that access the facility",Mosquitoes present,"Similar cases as other medical areas, Mostly farming & fishing communities -- 70%, Registered in the HCF for Physically and mentally challenged, Monthly visits to them."" 1.4% , Lack of safe and clean water during dry seasons, sanitation - Satisfactory but can be improved",Fiji
Coqeloa HC,,-16.37,179.46,Macuata,Medium to High Vulnerability,2.00,AC3,N/A,No,No,No,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,No,No,Average,Average,Average,Average,Average,Average,Average,Average,Average,"Flooding of access bridges to reach HCF, lack of safe water, borehole supply",Borehole and water tanks,"EEL main only, no backup","Outdoor activities, lack of shade, lack of indoor cooling facility","Sharps to the hospital, thers gets burnt onsite, respiratory illness including allergens, those that are living beside the area of burning.",Present,"Social stress and peer pressure, teenage pregnancies, family issues, farming communities’ sugarcane and root crops, high percentage of primary school, partially and mental challenges. Depression, schizophrenia, mania..too Disability Location of the community, transportation fares..$5 one way is very expensive, leptospirosis cases ongoing....since January 2022....23 positive cases from January to May, dengue cases - 16 cases from February to May.. 2022.",Fiji
Nasea HC,,-16.43,179.37,Macuata,Medium to High Vulnerability,2.00,AC3,N/A,No,No,No,Yes,Yes,No,No,No,No,No,No,Yes,No,No,High,High,High,High,High,High,High,High,High,"Accessible to town residents"" None issue, None - access to safe drinking water – treated commonly",WAF supply,EEL + solar,"Outdoor activities, lack of shade, lack of indoor cooling facility","General waste burnt onsite, sharps and needles to Labasa Hospital, respiratory illness including allergens, injuries, all those that access the facility",Present,"Similar social issues experienced and presented at Labasa Heath Centre, serving the same medical area, 70% --sugarcane farmers, work in town and civil servants, 100 % in school (Primary/Secondary/Tertiary/ECE), PLWD Registered & recorded -- Dorms visits to them""",Fiji
Seaqaqa HC,,-16.52,179.14,Macuata,Medium to High Vulnerability,2.00,AC3,N/A,No,No,No,No,Yes,No,No,No,No,No,No,Yes,No,No,Average,Average,Average,Average,Average,Average,Average,Average,Average,Transportation issues,WAF supply,EEL + solar,"Outdoor activities, lack of shade","Sharps and needles to Labasa, vials buried, others burnt onsite",Present,"Teenage pregnancies, children negligence, none but at times, water is brown in color, flooding during TC ANA.",Fiji
Dreketi HC,,-16.59,178.90,Macuata,Medium to High Vulnerability,2.00,AC3,N/A,No,No,No,No,Yes,No,No,No,Yes,Yes,No,Yes,No,No,Average,Low,Low,Low,Low,Low,Low,Low,Low,"Improper roads, transportation issues and costs, more...just need a total renovation",WAF supply,"EEL + solar, generator as back up","Outdoor activities, lack of shade","Sharps and needles to Labasa, general waste burned onsite, respiratory illness including allergens",Present,"Similar issues with other issues with other medical areas, Mostly farmers – source of employment, 70% in school, People living with disabilities are Registered under the HCF, Lack of drinking of water, Need a lot of improvement",Fiji
Naduri HC,,-16.45,179.16,Macuata,Medium to High Vulnerability,2.00,AC3,N/A,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,High,Average,High,Average,Average,High,High,Average,Average,"Distance of HCF, lack of proper roads, transportation costs",Water tank,"EEL + main only, backup generator not wired properly","Outdoor activities, lack of shade, lack of indoor cooling facility","Sharps and needles to Labasa, general waste burned onsite, respiratory illness including allergens, all those access to the facility",Present,"Similar issues with other medical areas, Farming and fishing communities Above 70%, Yes, persons living with disability are registered at the HCF, Lack of safe water for drinking, cooking and hygiene practices, Need improvements. Patients’ toilets are leaking. Staff’s toilets not working for the last 3 years as, 100%of the community that is within this medical area of Naduri live by the sea/coast. And also prone to flooding. However, the HCF is safely placed and positioned...but water is the issue. They need a filtering device in their current water system, Mini-dam for HCF, SCHOOLS and villages up to Naduri.",Fiji
Dogotuki HC,,-16.30,179.71,Macuata,Medium to High Vulnerability,2.00,AC3,N/A,No,No,No,Yes,Yes,Yes,No,No,No,No,No,Yes,Yes,No,High,High,High,Average,High,Average,Average,Average,Average,"Lack of proper roads, distance of NS, transportation costs more than 80%","Water tank and rainwater supply for NS, also dam source water supply",Solar + generator but no fuel,"Outdoor activities, lack of shade, lack of indoor cooling facility","Sharps and needles to Labasa Hospital, general waste onsite burning, respiratory illness including allergens, injuries, all those access the facility",Present,"Teenage pregnancies, Children negligence, Substance abuse- few communities got raided because of Marijuana farming, Copra farmers as the main source of employment, Fishermen, Above 70% in school, Registered under the NS of people living with disability, Lack of safe water for drinking and cooking",Fiji
Udu NS,,-16.15,179.99,Macuata,Medium to High Vulnerability,2.00,AC3,N/A,No,No,No,No,Yes,No,Yes,No,No,No,No,No,No,No,High,Low,Low,Low,Low,Low,Low,Low,Low,"No roads thus, they all travel by boat to reach the facility and now with the rise in fuel prices, fuel for the boat will also be a constraint Likely 80% as majority of them need health care assistance from time to time, Lack of safe water for drinking, cooking, washing, bathing, etc, Lack of safe health infrastructure at the NS, poor working environment; damaged doors, leaking ceilings, A lot of insects that bite creating a high disease vector risk, For the community, no road therefore, hard to access the station if there is no fuel for the boat","Water tank, ""It would be a understatement to say our appreciation if something is done about the renovation of the station and Improvement of the water source for the station and the community.",Solar,Outdoor activities,"The HCF has flushed toilet however the community still uses water seal toilets. Sanitation is good. HCF has a septic tank for human waste disposal, infectious waste is disposed of the incinerator.",High mosquitoes,"The younger age group cannot conveniently get their EPI vaccines from the station as the solar fridge was damaged by a cyclone in 2020. The other age group, in terms of a health risk cannot be seen comfortably in the station during rainy weather as the station get flooded from leaky ceilings and damaged doors, hence the rain water sips into the room. Water has been a problem for the community, they cannot access good clean water for drinking let alone for proper disposal of human waste. Socially, with the rise in fuel cost and other essentials, it'll be a constraints for the CBA group in providing adequate resources for survival for their families. Some of them suffer from limb amputations as a result of disease complications % not accurate, only 1 amputee in the community, 0.3%. Waterborne diseases | Vector borne diseases 100% of the population in Udu are affected by this",Fiji
Lagi HC,,-16.24,179.84,Macuata,Medium to High Vulnerability,2.00,AC3,N/A,No,No,No,No,Yes,No,Yes,No,No,No,No,No,Yes,No,Average,Average,Average,Average,Average,High,Average,Average,Average,"The roads are still gravel roads and some communities only have access via sea to reach the HC. 20%. Water source via borehole and rainwater in water tanks, medium safe drinking and cooking water. Soggy environment when it downpours for days so gumboots is a must for everyone walking around the community, risk of CDs""",Borehole + Water tank,Solar,Outdoor activities,"Septic tanks for the human waste disposal, Incinerator for infectious waste, biodegradable ones",Present,"0-5 yrs: increasing prices of diapers and formula milk for the bottle-fed babies and healthy food, but good for the mothers to resort to the old school ways; use of napkins, breastfeeding and backyard farming. 6-14 years: primary schoolers: rise in fuel cost and bus fare, financial constraints to reach their schools, let alone prices of essentials to cater their daily needs. 15-19 yrs: teenagers, prime years of puberty where interaction is a healthy part of growing up. Being able to be exposed to the media and have a healthy social interaction in town and cities is nearly Impossible with the rise in bus fare prices and fuel prices for boats. 20- 59 years: tertiary and working group, CBA group, they are obliged to fend for their families and are the most stressful age group as they will be the ones worrying about the rising prices of goods, fuel and other essentials. 60+ years: the elderlies whom are given most leeway to these rising costs of living mostly in terms of bus fares, but they get social welfare allowances that just isn't enough with the high cost of living. Majority of the population in CBA group are farmers and fishermen. Only 1 primary school within the area, has a roll of 113, has students from other areas too and 1 secondary school. Most tertiary students have access to education in Labasa and Viti Levu, as according to their choice, around 60% of the population are students. Only 1 mentally challenged person within the area 0.1%",Fiji
Naqumu NS,,-16.48,179.02,Macuata,Medium to High Vulnerability,2.00,AC3,N/A,No,No,No,Yes,Yes,Yes,No,No,No,No,No,Yes,Yes,No,Low,Low,Average,Low,Low,Average,Average,Low,Low,"Distance of HCF, improper roads conditions, transportation costs, intermittent opening times for HCF 80%",Water tank,Solar,"Outdoor activities, lack of shade, lack of indoor cooling facility","Sharps and needles to Labasa Hospital. General waste burnt onsite, Respiratory illness including allergens, Injuries -- 60% those that access the facility",Mosquitoes present,Mostly farming communities Above 70%. Yes PLWD registered under the NS 1.3%. Lack of safe water for drinking and cooking. Improvement much needed,Fiji
Cikobia NS,,-15.72,180.07,Macuata,Medium to High Vulnerability,2.00,AC3,N/A,Yes,Yes,No,No,Yes,Yes,No,Yes,No,Yes,No,Yes,Yes,Yes,Average,Low,Average,Low,Low,Average,Low,Average,Average,"No proper roads to the NS, costly transportation - if travel to mainland - 70% is affected. Lack of safe water for drinking and sanitation",Water tank,Generator + solar,"Outdoor activities, lack of shade, lack of indoor cooling facility","Needles and sharps take to Labasa Hospital, onsite burning and bury for general wastes, respiratory illness including allergens - all those that access to the HCF",Present,Mostly excessive kava consumption for 19+ Mostly fishermen and farmers. Registered and recorded in the NS N>A. Need improvements - to the whole bldg. Development needs - refurbishments and repairs needed for the Cikobia NS.,Fiji
Kia NS,,-16.24,179.09,Macuata,Medium to High Vulnerability,2.00,AC3,N/A,No,No,No,No,Yes,Yes,No,Yes,No,Yes,No,Yes,Yes,Yes,High,High,Average,High,High,High,High,High,Average,"No proper roads to HCF, potential damage to roads 80%, Lack of safe water for drinking and sanitation",Water tank + borehole supply of water rainwater tank supply,Generator + solar,"Outdoor activities, lack of shade, lack of indoor cooling facility","Needles and sharps taken to Labasa Hospital, onsite burning and bury for general wastes",Present,"Needles and sharps take to Labasa Hospital, onsite burning and bury for general wastes, respiratory illness including allergens - all those that access to the HCF",Fiji
Malolo Health Centre,,-17.74,177.18,Lautoka/Yasawa,Medium to High Vulnerability,2.00,N/A,N/A,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Fiji
Lautoka Hospital,,-17.62,177.45,Nadi,Medium to High Vulnerability,2.00,N/A,N/A,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Fiji
Momi Nursing Station,,-17.92,177.27,Nadi,Medium to High Vulnerability,2.00,N/A,N/A,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Fiji
Nawaicoba Nursing Station,,-17.92,177.37,Nadi,Medium to High Vulnerability,2.00,N/A,N/A,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Fiji
Nadi Sub‑Divisional Hospital,,-17.77,177.44,Nadi,Medium to High Vulnerability,2.00,N/A,N/A,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Fiji
Nailaga Health Centre,,-17.51,177.66,Ba,Medium to High Vulnerability,2.00,N/A,N/A,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Fiji
Ba Sub‑Divisional Hospital,,-17.53,177.67,Ba,Medium to High Vulnerability,2.00,N/A,N/A,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Fiji
Cuvu Health Centre,,-18.13,177.42,Nadroga/Navosa,Medium to High Vulnerability,2.00,N/A,N/A,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Fiji
Vatukarasa Health Centre,,-18.18,177.61,Nadroga/Navosa,Medium to High Vulnerability,2.00,N/A,N/A,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Fiji
Verata Nursing Station,,-17.87,178.61,Nadroga/Navosa,Medium to High Vulnerability,2.00,N/A,N/A,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Fiji
Namara Nursing Station,,-17.95,178.59,Nadroga/Navosa,Medium to High Vulnerability,2.00,N/A,N/A,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Fiji
Korovisilou Health Centre,,-18.25,177.88,Suva,Medium to High Vulnerability,2.00,N/A,N/A,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Fiji
Galoa Nursing Station,,-19.08,178.18,Suva,Medium to High Vulnerability,2.00,N/A,N/A,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Fiji
Nausori Health Centre,,-18.03,178.53,Rewa,Medium to High Vulnerability,2.00,N/A,N/A,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Fiji
